word,definition_id,frequency
Phoebe,75388,2
phoebe,75073,2
Phoebetria fuliginosa,67289,0
Phoebus,75389,5
Phoenician,75390,3
Phoenicious,75391,1
phoenicocroite,62815,0
Phoenicopterus,75392,2
Phoenix,75393,2
phoenix,75240,2
Phoenix dactylifera,26622,0
Phoenix sylvestrix,26555,0
Prol'etaire,79970,1
Prolapse,79971,5
Prolapsion,79972,2
Prolapsus,79973,5
prolaption,79972,1
Prolata,79974,1
Prolate,79975,24
Prolate cycloid,79976,0
Prolate ellipsoid,79976,0
Prolate spheroid,68894,0
Prolation,79977,2
Prolatum,79974,3
Proleg,38523,11
Prolegate,79978,1
Prolegomena,79979,1
Prolegomenary,79980,1
Prolegomenon,79979,2
Prolepsis,79981,2
Proleptic,79982,2
Proleptical,79982,2
Proleptically,79983,1
Proleptics,79984,1
Proletaneous,79985,1
Proletarian,79986,2
Proletariat,79987,1
Proletariate,79988,1
Proletaries,79989,2
Proletary,79989,4
Prolicide,79990,1
Proliferate,79991,1
Proliferation,79992,1
Proliferous,79993,3
Proliferous cyst,79993,0
Proliferously,79993,0
Prolific,79994,35
Prolificacy,79995,2
Prolifical,79996,1
Prolifically,79996,0
Prolificate,79997,2
Prolification,79998,2
Prolificness,79999,2
Prolix,80000,15
Prolixious,80001,2
Prolixity,80002,12
Prolixly,80003,1
Prolixness,80004,1
Proll,80005,6
Prolled,80006,2
Proller,80007,1
Prolling,80006,2
Prolocutor,80008,6
Prolog,80009,1
Prologize,80010,1
Prologizer,80011,1
Prologue,80012,21
Prologued,80013,2
Prologuing,80013,2
Prolong,80014,47
Prolongable,80015,3
Prolongate,80016,2
Prolongated,80016,2
Prolongating,80016,1
Prolongation,80017,32
Prolonge,80018,1
Prolonged,80014,228
Prolonger,80019,2
Prolonging,80014,7
Prolongment,80020,1
Prolusion,80021,3
Text,100922,143
Text blindness,100923,0
Text hand,100924,0
Text letter,100923,0
Text pen,100923,0
Text-book,100925,4
Text-hand,100926,3
Textile,100927,152
Textile cone,23569,0
Textman,100928,4
Textmen,100928,1
Textor alector,71764,0
Textorial,100929,2
Textrine,100930,2
Textual,100931,7
Textualist,100932,2
Textually,100933,1
Textuarist,100934,1
Textuary,100935,4
Textuel,100936,3
Textuist,100937,1
Textural,100938,1
Texture,100939,396
Textured,100940,2
Texturing,100940,2
Textury,100941,1
